datetime,ticker,price,signal,pnl
2023-01-30-15:10,AAPL,142.95,-1,0.17
2023-01-30-15:15,AAPL,142.83,-1,0.11
2023-01-30-15:20,AAPL,142.85,-1,-0.02
2023-01-30-15:25,AAPL,142.79,-1,0.06
2023-01-30-15:30,AAPL,142.84,-1,-0.05
2023-01-30-15:35,AAPL,142.99,-1,-0.15
2023-01-30-15:40,AAPL,143.05,-1,-0.06
2023-01-30-15:45,AAPL,143.17,-1,-0.11
2023-01-30-15:50,AAPL,142.99,-1,0.18
2023-01-30-15:55,AAPL,142.9,-1,0.08
2023-01-30-16:00,AAPL,142.81,-1,0.09
2023-01-30-16:05,AAPL,142.79,-1,0.02
2023-01-30-16:10,AAPL,142.8,-1,-0.01
2023-01-30-16:15,AAPL,142.83,-1,-0.03
2023-01-30-16:20,AAPL,142.91,-1,-0.08
2023-01-30-16:25,AAPL,142.96,-1,-0.05
2023-01-30-16:30,AAPL,142.99,-1,-0.03
2023-01-30-16:35,AAPL,143.05,-1,-0.06
2023-01-30-16:40,AAPL,142.96,-1,0.09
2023-01-30-16:45,AAPL,142.93,-1,0.03
2023-01-30-16:50,AAPL,142.96,-1,-0.03
2023-01-30-16:55,AAPL,142.92,-1,0.04
2023-01-30-17:00,AAPL,142.89,-1,0.03
2023-01-30-17:05,AAPL,142.9,-1,-0.01
2023-01-30-17:10,AAPL,142.9,-1,-0.0
2023-01-30-17:15,AAPL,142.88,-1,0.02
2023-01-30-17:20,AAPL,142.83,-1,0.05
2023-01-30-17:25,AAPL,142.82,-1,0.01
2023-01-30-17:30,AAPL,142.79,-1,0.03
2023-01-30-17:35,AAPL,142.81,-1,-0.02
2023-01-30-17:40,AAPL,142.83,-1,-0.02
2023-01-30-17:45,AAPL,142.81,-1,0.02
2023-01-30-17:50,AAPL,142.79,-1,0.02
2023-01-30-17:55,AAPL,142.76,-1,0.03
2023-01-30-18:00,AAPL,142.73,-1,0.03
2023-01-30-18:05,AAPL,142.9,-1,-0.17
2023-01-30-18:10,AAPL,142.81,-1,0.09
2023-01-30-18:15,AAPL,142.87,-1,-0.06
2023-01-30-18:20,AAPL,142.88,-1,-0.01
2023-01-30-18:25,AAPL,142.84,-1,0.04
2023-01-30-18:30,AAPL,142.86,-1,-0.02
2023-01-30-18:35,AAPL,142.85,-1,0.01
2023-01-30-18:40,AAPL,143.06,-1,-0.21
2023-01-30-18:45,AAPL,142.98,-1,0.08
2023-01-30-18:50,AAPL,142.93,-1,0.05
2023-01-30-18:55,AAPL,143.07,-1,-0.14
2023-01-30-19:00,AAPL,142.98,-1,0.09
2023-01-30-19:05,AAPL,142.93,-1,0.05
2023-01-30-19:10,AAPL,142.93,-1,-0.0
2023-01-30-19:15,AAPL,142.88,-1,0.05
2023-01-30-19:20,AAPL,142.82,-1,0.06
2023-01-30-19:25,AAPL,142.83,-1,-0.01
2023-01-30-19:30,AAPL,142.88,-1,-0.05
2023-01-30-19:35,AAPL,142.89,-1,-0.01
2023-01-30-19:40,AAPL,142.94,-1,-0.05
2023-01-30-19:45,AAPL,142.9,-1,0.04
2023-01-30-19:50,AAPL,142.89,-1,0.01
2023-01-30-19:55,AAPL,142.83,-1,0.06
2023-01-30-20:00,AAPL,142.78,-1,0.05
2023-01-31-04:05,AAPL,142.07,-1,0.71
2023-01-31-04:10,AAPL,141.88,-1,0.19
2023-01-31-04:15,AAPL,141.93,-1,-0.05
2023-01-31-04:20,AAPL,141.87,-1,0.06
2023-01-31-04:25,AAPL,142.01,-1,-0.14
2023-01-31-04:30,AAPL,142.01,-1,-0.0
2023-01-31-04:40,AAPL,141.97,-1,0.04
2023-01-31-04:45,AAPL,141.96,-1,0.01
2023-01-31-04:50,AAPL,142.07,-1,-0.11
2023-01-31-04:55,AAPL,141.98,-1,0.09
2023-01-31-05:05,AAPL,141.83,-1,0.15
2023-01-31-05:10,AAPL,141.83,-1,-0.0
2023-01-31-05:15,AAPL,141.73,-1,0.1
2023-01-31-05:20,AAPL,141.78,-1,-0.05
2023-01-31-05:25,AAPL,141.9,-1,-0.12
2023-01-31-05:30,AAPL,141.75,-1,0.15
2023-01-31-05:35,AAPL,141.68,-1,0.07
2023-01-31-05:40,AAPL,141.5,-1,0.18
2023-01-31-05:45,AAPL,141.65,-1,-0.15
2023-01-31-05:50,AAPL,141.78,-1,-0.13
2023-01-31-05:55,AAPL,141.72,-1,0.06
2023-01-31-06:00,AAPL,141.39,-1,0.33
2023-01-31-06:05,AAPL,141.43,-1,-0.04
2023-01-31-06:10,AAPL,141.53,-1,-0.1
2023-01-31-06:15,AAPL,141.44,-1,0.09
2023-01-31-06:20,AAPL,141.52,-1,-0.08
2023-01-31-06:25,AAPL,141.5,-1,0.02
2023-01-31-06:30,AAPL,141.3,-1,0.2
2023-01-31-06:35,AAPL,141.28,-1,0.02
2023-01-31-06:40,AAPL,141.53,-1,-0.25
2023-01-31-06:45,AAPL,141.67,-1,-0.14
2023-01-31-06:50,AAPL,141.66,-1,0.01
2023-01-31-06:55,AAPL,141.71,-1,-0.05
2023-01-31-07:00,AAPL,141.71,-1,-0.0
2023-01-31-07:05,AAPL,141.98,-1,-0.27
2023-01-31-07:10,AAPL,141.93,-1,0.05
2023-01-31-07:15,AAPL,142.16,-1,-0.23
2023-01-31-07:20,AAPL,142.13,-1,0.03
2023-01-31-07:25,AAPL,142.05,-1,0.08
2023-01-31-07:30,AAPL,141.99,-1,0.06
2023-01-31-07:35,AAPL,142.08,-1,-0.09
2023-01-31-07:40,AAPL,142.03,-1,0.05
2023-01-31-07:45,AAPL,142.06,-1,-0.03
2023-01-31-07:50,AAPL,142.07,-1,-0.01
2023-01-31-07:55,AAPL,142.26,-1,-0.19
2023-01-31-08:00,AAPL,142.26,-1,-0.0
